trial,utterances,trigger_feature,nuisance_feature,production_target,production_competitor,production_distractor1,production_distractor2,production_index_target,production_index_competitor,production_index_distractor1,production_index_distractor2,trigger_object,trigger_word,interpretation_target,interpretation_competitor,interpretation_distractor,interpretation_index_target,interpretation_index_competitor,interpretation_index_distractor,context_production,context_interpretation,alpha_production,scores_production_target,scores_production_competitor,scores_production_distractor1,scores_production_distractor2,scores_production_target_npnlg,scores_production_competitor_npnlg,scores_production_distractor1_npnlg,scores_production_distractor2_npnlg,prob_production_target,prob_production_competitor,prob_production_distractor1,prob_production_distractor2,prob_production_target_npnlg,prob_production_competitor_npnlg,prob_production_distractor1_npnlg,prob_production_distractor2_npnlg,alpha_interpretation,scores_interpretation_target,scores_interpretation_competitor,scores_interpretation_distractor,prob_interpretation_target,prob_interpretation_competitor,prob_interpretation_distractor,scores_interpretation_target_npnlg,scores_interpretation_competitor_npnlg,scores_interpretation_distractor_npnlg,prob_interpretation_target_npnlg,prob_interpretation_competitor_npnlg,prob_interpretation_distractor_npnlg
0,"green
triangle
red
circle",color,texture,red,triangle,green,circle,2,1,0,3,red triangle with dots,green,green triangle with dots,green circle with dots,red triangle with dots,0,1,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your task is to make your friend pick out the following target object:

the red triangle with dots

Which of the following words would you choose:

green
triangle
red
circle

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green triangle with dots
a green circle with dots
a red triangle with dots

Your friend can choose from the following list of words:

green
triangle
red
circle

Your friend chose the word:

green

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.96970272064209,-2.528254270553589,-4.312185764312744,-4.562613010406494,0.9899008870124817,0.8427514433860779,1.4373952150344849,1.5208710432052612,0.3116257176194897,0.38859088074230763,0.15926370060942638,0.1405197010287764,0.22302089174163164,0.20720128874936117,0.2789444382754408,0.29083338123356645,0.5,-7.651932716369629,-7.9808478355407715,-10.555870056152344,0.5635354986943444,0.4055788107290806,0.03088569057657503,1.0931332111358643,1.1401211023330688,1.5079814195632935,0.2807214378186978,0.29422675464294373,0.4250518075383585
1,"triangle
stripes
stars
hexagon",texture,color,stars,hexagon,stripes,triangle,2,3,1,0,orange hexagon with stars,stripes,orange hexagon with stripes,orange triangle with stripes,orange hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your task is to make your friend pick out the following target object:

the orange hexagon with stars

Which of the following words would you choose:

triangle
stripes
stars
hexagon

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange hexagon with stars
a orange hexagon with stripes

Your friend can choose from the following list of words:

triangle
stripes
stars
hexagon

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.80269718170166,-3.0548055171966553,-4.182684421539307,-4.653940200805664,0.700674295425415,0.763701319694519,0.8365368843078613,1.5513134002685547,0.3597858168028079,0.31717533661657976,0.18046110705051174,0.14257773953010064,0.21587145790948226,0.22278265176325227,0.231045444985313,0.33030044534195263,0.5,-7.972349166870117,-10.508543968200684,-10.981034278869629,0.8861134961656264,0.07015101255463412,0.04373549127973944,0.8858165144920349,1.313567876815796,1.3726292848587036,0.24033108352271162,0.36862093871564017,0.3910479777616483
2,"orange
blue
stripes
spades",color,shape,orange,stripes,blue,spades,0,2,1,3,orange circle with stripes,blue,blue circle with stripes,blue circle with spades,orange circle with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your task is to make your friend pick out the following target object:

the orange circle with stripes

Which of the following words would you choose:

orange
blue
stripes
spades

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange circle with stripes
a blue circle with stripes
a blue circle with spades

Your friend can choose from the following list of words:

orange
blue
stripes
spades

Your friend chose the word:

blue

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.6190690994262695,-3.388852834701538,-4.532870292663574,-4.921085357666016,0.6547672748565674,0.6777706146240234,1.5109567642211914,1.230271339416504,0.4200051114427632,0.28582365040599367,0.16131617912964585,0.1328550590215971,0.20494633349837435,0.2073171667045076,0.3144556037835078,0.2732808960136101,0.5,-8.223179817199707,-7.155398368835449,-11.120787620544434,0.252265740298299,0.7338205417907543,0.013913717910946609,1.174739956855774,1.0221997499465942,1.3900983333587646,0.32270236759730636,0.2770478483398365,0.40024978406285716
3,"blue
triangle
orange
square",shape,texture,square,orange,triangle,blue,3,2,1,0,orange square with stars,triangle,orange triangle with stars,blue triangle with stars,orange square with stars,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

blue
triangle
orange
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange square with stars
a orange triangle with stars
a blue triangle with stars

Your friend can choose from the following list of words:

blue
triangle
orange
square

Your friend chose the word:

triangle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.064396858215332,-2.9780614376068115,-3.954313278198242,-4.046477794647217,1.0214656591415405,0.7445152997970581,1.3181043863296509,1.3488259315490723,0.3033103271479559,0.31669025217435187,0.19437674364376453,0.1856226770339277,0.23761968017476817,0.20689185836649931,0.2756110896867335,0.27987737177199895,0.5,-9.200395584106445,-8.388089179992676,-9.50375747680664,0.2505367495887179,0.5644839883165853,0.18497926209469678,1.3143422603607178,1.3980149030685425,1.3576796054840088,0.31932935415247876,0.34719815576403534,0.3334724900834858
4,"dots
square
hexagon
stars",shape,color,hexagon,stars,square,dots,2,3,1,0,red hexagon with stars,square,red square with stars,red square with dots,red hexagon with stars,2,0,1,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your task is to make your friend pick out the following target object:

the red hexagon with stars

Which of the following words would you choose:

dots
square
hexagon
stars

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with dots
a red hexagon with stars
a red square with stars

Your friend can choose from the following list of words:

dots
square
hexagon
stars

Your friend chose the word:

square

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.8315680027008057,-2.6118576526641846,-4.326423168182373,-5.291865825653076,0.7078920006752014,0.6529643535614014,1.442141056060791,1.7639552354812622,0.34698743783821323,0.3872783759381665,0.16432743534835917,0.10140675087526112,0.1956151303375918,0.19031589265736384,0.2823856347188875,0.33168334228615676,0.5,-8.307767868041992,-8.595787048339844,-8.772331237792969,0.4204937485418713,0.31526401551760636,0.26424223594052226,1.3846278190612793,1.2279695272445679,1.2531901597976685,0.36605497484462585,0.3129756008039357,0.3209694243514383
5,"orange
hexagon
red
square",color,texture,red,square,orange,hexagon,2,3,0,1,red square with spades,orange,orange square with spades,orange hexagon with spades,red square with spades,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your task is to make your friend pick out the following target object:

the red square with spades

Which of the following words would you choose:

orange
hexagon
red
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with spades
a orange hexagon with spades
a orange square with spades

Your friend can choose from the following list of words:

orange
hexagon
red
square

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.542181968688965,-3.290186882019043,-4.204267501831055,-4.569787979125977,0.8473939895629883,1.0967289209365845,1.0510668754577637,1.1424469947814941,0.40218684580495756,0.2766945844083857,0.17519050899394054,0.14592806079271614,0.2273275922124114,0.25751026421684553,0.25169764799152305,0.2634644955792201,0.5,-7.551441669464111,-8.064987182617188,-9.530309677124023,0.5758392026466441,0.34456506705122736,0.07959573030212852,0.9439301490783691,0.8961097002029419,1.3614730834960938,0.2880573005588679,0.2746064472472153,0.4373362521939167
6,"stars
triangle
square
stripes",texture,color,stars,square,stripes,triangle,0,2,3,1,orange square with stars,stripes,orange square with stripes,orange triangle with stripes,orange square with stars,1,0,2,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your task is to make your friend pick out the following target object:

the orange square with stars

Which of the following words would you choose:

stars
triangle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a orange triangle with stripes
a orange square with stripes
a orange square with stars

Your friend can choose from the following list of words:

stars
triangle
square
stripes

Your friend chose the word:

stripes

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.193437099456787,-2.8227598667144775,-3.58052921295166,-4.405130863189697,0.798359215259552,0.9409199357032776,0.7161058187484741,1.4683769941329956,0.2798557076860673,0.3368415888302009,0.23061002579881826,0.15269267768491349,0.22565505751776008,0.24232696259152275,0.21656285765105787,0.31545512223965927,0.5,-8.36948013305664,-10.289135932922363,-9.205609321594238,0.6328944625586582,0.0928186772083473,0.27428686023299453,1.0461848974227905,1.2861419916152954,1.315087080001831,0.27935132143757413,0.35510989341508414,0.3655387851473417
7,"green
circle
blue
square",shape,texture,square,green,circle,blue,3,0,1,2,green square with dots,circle,green circle with dots,blue circle with dots,green square with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your task is to make your friend pick out the following target object:

the green square with dots

Which of the following words would you choose:

green
circle
blue
square

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a green square with dots
a blue circle with dots
a green circle with dots

Your friend can choose from the following list of words:

green
circle
blue
square

Your friend chose the word:

circle

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.1371383666992188,-2.6121621131896973,-3.5461618900299072,-4.193451881408691,1.0457128286361694,0.8707206845283508,1.1820539236068726,1.3978172540664673,0.26991302954277313,0.3509304027561104,0.219991307154808,0.15916526054630842,0.23927619925709098,0.21923023041907777,0.25615662597272965,0.2853369443511018,0.5,-7.395071029663086,-8.302102088928223,-8.977607727050781,0.6214367074519594,0.2508870927201987,0.1276761998278417,1.056438684463501,1.1860145330429077,1.282515525817871,0.29480980450888483,0.3355953995997987,0.3695947958913164
8,"stars
circle
square
stripes",texture,color,stripes,square,stars,circle,3,2,0,1,red square with stripes,stars,red square with stars,red circle with stars,red square with stripes,1,2,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your task is to make your friend pick out the following target object:

the red square with stripes

Which of the following words would you choose:

stars
circle
square
stripes

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a red square with stripes
a red square with stars
a red circle with stars

Your friend can choose from the following list of words:

stars
circle
square
stripes

Your friend chose the word:

stars

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-2.9363110065460205,-2.7189154624938965,-4.485651016235352,-3.691600799560547,0.5872622132301331,0.9063051342964172,1.121412754058838,1.2305335998535156,0.306639818339924,0.3418498483270189,0.14131674986323667,0.21019358346982037,0.2058260988765682,0.2414236061942774,0.26883744478756477,0.28391285014158957,0.5,-9.529095649719238,-7.3488569259643555,-12.693351745605469,0.10110544762388302,0.8946232964486375,0.0042712559274794585,1.5881825685501099,1.2248095273971558,1.8133357763290405,0.3392312535915467,0.2358766497055068,0.4248920967029464
9,"circle
triangle
orange
blue",color,texture,blue,triangle,orange,circle,3,1,2,0,blue triangle with dots,orange,orange triangle with dots,orange circle with dots,blue triangle with dots,2,1,0,"Your task is to play a conversation game. There are three objects that you and your friend can see. You have to choose a single word to identify one of the three objects for your friend.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your task is to make your friend pick out the following target object:

the blue triangle with dots

Which of the following words would you choose:

circle
triangle
orange
blue

Your answer:

I would choose the word ","Your task is to play a conversation game. There are three objects that you and your friend can see. Your friend wants to communicate about one of these objects. Your friend selects a single word. Your task is to guess which object your friend is trying to refer to.

The three objects are:

a blue triangle with dots
a orange circle with dots
a orange triangle with dots

Your friend can choose from the following list of words:

circle
triangle
orange
blue

Your friend chose the word:

orange

Which object do you think your friend is trying to refer to?

Your answer:

My friend wants to refer to ",0.5,-3.597783088684082,-2.4176132678985596,-5.183495998382568,-4.086945533752441,1.1992610692977905,0.8058710694313049,1.2958741188049316,1.3623151779174805,0.24754164884322907,0.4466001862289917,0.1120250370225407,0.1938331279052385,0.2527885096924481,0.20765088024345696,0.2652995948032815,0.2742610152608134,0.5,-7.924402713775635,-7.619360446929932,-8.69725513458252,0.35481418799427045,0.4813701444220239,0.16381566758370564,0.9905503392219543,0.9524201154708862,1.2424649000167847,0.3077800300009744,0.2962652345474905,0.39595473545153514
